"","Espécies","Total","Escolhidos","Parvorder"
"1","Allenopithecus_nigroviridis",8,2,"Catarrhini"
"2","Bunopithecus_hoolock_hoolock",4,2,"Catarrhini"
"3","Cercocebus_agilis",10,4,"Catarrhini"
"4","Cercocebus_atys_atys",98,24,"Catarrhini"
"5","Cercocebus_atys_lunulatus",6,3,"Catarrhini"
"6","Cercocebus_chrysogaster",9,7,"Catarrhini"
"7","Cercocebus_galeritus",28,14,"Catarrhini"
"8","Cercocebus_torquatus",74,25,"Catarrhini"
"9","Cercopithecus_albogularis_albogularis",21,9,"Catarrhini"
"10","Cercopithecus_albogularis_erythrarchus",1,1,"Catarrhini"
"11","Cercopithecus_albogularis_kolbi",2,2,"Catarrhini"
"12","Cercopithecus_albogularis_labiatus",3,2,"Catarrhini"
"13","Cercopithecus_albogularis_schwarzi",3,3,"Catarrhini"
"14","Cercopithecus_ascanius_ascanius",59,12,"Catarrhini"
"15","Cercopithecus_ascanius_katangae",1,1,"Catarrhini"
"16","Cercopithecus_ascanius_schmidti",11,6,"Catarrhini"
"17","Cercopithecus_ascanius_whitesidei",2,1,"Catarrhini"
"18","Cercopithecus_campbelli",20,12,"Catarrhini"
"19","Cercopithecus_cephus_cephus",12,4,"Catarrhini"
"20","Cercopithecus_cephus_ngottoensis",1,1,"Catarrhini"
"21","Cercopithecus_denti",2,1,"Catarrhini"
"22","Cercopithecus_diana",30,20,"Catarrhini"
"23","Cercopithecus_doggeti",4,1,"Catarrhini"
"24","Cercopithecus_dryas",5,2,"Catarrhini"
"25","Cercopithecus_erythrogaster_erythrogaster",5,2,"Catarrhini"
"26","Cercopithecus_erythrotis_camerunensis",1,0,"Catarrhini"
"27","Cercopithecus_erythrotis_erythrotis",4,1,"Catarrhini"
"28","Cercopithecus_hamlyni_hamlyni",3,3,"Catarrhini"
"29","Cercopithecus_kandti",7,5,"Catarrhini"
"30","Cercopithecus_lhoesti",9,3,"Catarrhini"
"31","Cercopithecus_lowei",6,3,"Catarrhini"
"32","Cercopithecus_mitis_boutourlinii",2,2,"Catarrhini"
"33","Cercopithecus_mitis_mitis",20,16,"Catarrhini"
"34","Cercopithecus_mitis_stuhlmanni",13,10,"Catarrhini"
"35","Cercopithecus_mona",29,8,"Catarrhini"
"36","Cercopithecus_neglectus",20,4,"Catarrhini"
"37","Cercopithecus_nictitans_martini",2,2,"Catarrhini"
"38","Cercopithecus_nictitans_nictitans",20,5,"Catarrhini"
"39","Cercopithecus_petaurista_petaurista",8,3,"Catarrhini"
"40","Cercopithecus_pogonias_grayi",3,0,"Catarrhini"
"41","Cercopithecus_pogonias_pogonias",6,2,"Catarrhini"
"42","Cercopithecus_sclateri",4,4,"Catarrhini"
"43","Cercopithecus_solatus",15,8,"Catarrhini"
"44","Cercopithecus_wolfi_wolfi",3,2,"Catarrhini"
"45","Chlorocebus_aethiops",46,14,"Catarrhini"
"46","Chlorocebus_cynosuros",2,0,"Catarrhini"
"47","Chlorocebus_djamdjamensis",7,7,"Catarrhini"
"48","Chlorocebus_pygerythrus_pygerythrus",63,19,"Catarrhini"
"49","Chlorocebus_sabaeus",85,8,"Catarrhini"
"50","Chlorocebus_tantalus_tantalus",5,0,"Catarrhini"
"51","Colobus_angolensis_angolensis",39,18,"Catarrhini"
"52","Colobus_angolensis_palliates",1,1,"Catarrhini"
"53","Colobus_angolensis_ruwenzorii",12,9,"Catarrhini"
"54","Colobus_guereza_caudatus",2,1,"Catarrhini"
"55","Colobus_guereza_guereza",87,19,"Catarrhini"
"56","Colobus_guereza_kikuyuensis",5,2,"Catarrhini"
"57","Colobus_polykomos",17,5,"Catarrhini"
"58","Colobus_satanas_satanas",8,6,"Catarrhini"
"59","Colobus_vellerosus",61,39,"Catarrhini"
"60","Erythrocebus_patas",28,22,"Catarrhini"
"61","Gorilla_beringei_beringei",36,32,"Catarrhini"
"62","Gorilla_beringei_graueri",11,1,"Catarrhini"
"63","Gorilla_gorilla_gorilla",284,56,"Catarrhini"
"64","Hylobates_agilis",30,10,"Catarrhini"
"65","Hylobates_albibarbis",17,6,"Catarrhini"
"66","Hylobates_klossii",14,8,"Catarrhini"
"67","Hylobates_lar_carpenteri",1,0,"Catarrhini"
"68","Hylobates_lar_entelloides",1,1,"Catarrhini"
"69","Hylobates_lar_lar",26,24,"Catarrhini"
"70","Hylobates_moloch",51,21,"Catarrhini"
"71","Hylobates_muelleri_muelleri",17,10,"Catarrhini"
"72","Lophocebus_albigena_albigena",34,17,"Catarrhini"
"73","Lophocebus_albigena_johnstoni",2,2,"Catarrhini"
"74","Lophocebus_aterrimus",9,1,"Catarrhini"
"75","Macaca_arctoides",69,19,"Catarrhini"
"76","Macaca_assamensis_assamensis",51,19,"Catarrhini"
"77","Macaca_assamensis_pelops",1,1,"Catarrhini"
"78","Macaca_cyclopis",60,16,"Catarrhini"
"79","Macaca_fascicularis_aureus",3,0,"Catarrhini"
"80","Macaca_fascicularis_fascicularis",130,20,"Catarrhini"
"81","Macaca_fuscata_fuscata",139,29,"Catarrhini"
"82","Macaca_hecki",5,1,"Catarrhini"
"83","Macaca_leonina",39,7,"Catarrhini"
"84","Macaca_maura",22,9,"Catarrhini"
"85","Macaca_mulatta",129,24,"Catarrhini"
"86","Macaca_nemestrina",41,17,"Catarrhini"
"87","Macaca_nigra",29,23,"Catarrhini"
"88","Macaca_ochreata_brunnescens",2,2,"Catarrhini"
"89","Macaca_ochreata_ochreata",6,3,"Catarrhini"
"90","Macaca_pagensis",1,1,"Catarrhini"
"91","Macaca_radiata",28,19,"Catarrhini"
"92","Macaca_siberu",2,2,"Catarrhini"
"93","Macaca_silenus",81,20,"Catarrhini"
"94","Macaca_sinica_sinica",36,13,"Catarrhini"
"95","Macaca_sylvanus",58,17,"Catarrhini"
"96","Macaca_thibetana_thibetana",31,26,"Catarrhini"
"97","Macaca_tonkeana",71,28,"Catarrhini"
"98","Mandrillus_leucophaeus_leucophaeus",33,15,"Catarrhini"
"99","Mandrillus_sphinx",31,28,"Catarrhini"
"100","Miopithecus_ogouensis",1,1,"Catarrhini"
"101","Miopithecus_talapoin",22,13,"Catarrhini"
"102","Nasalis_larvatus",70,18,"Catarrhini"
"103","Nomascus_concolor_concolor",25,10,"Catarrhini"
"104","Nomascus_concolor_jingdongensis",7,4,"Catarrhini"
"105","Nomascus_gabriellae",11,6,"Catarrhini"
"106","Nomascus_leucogenys",24,6,"Catarrhini"
"107","Nomascus_pileatus",26,5,"Catarrhini"
"108","Nomascus_siki",1,1,"Catarrhini"
"109","Pan_paniscus",72,28,"Catarrhini"
"110","Pan_troglodytes_schweinfurthii",39,25,"Catarrhini"
"111","Pan_troglodytes_troglodytes",92,45,"Catarrhini"
"112","Pan_troglodytes_vellerosus",6,2,"Catarrhini"
"113","Pan_troglodytes_verus",21,9,"Catarrhini"
"114","Papio_anubis",65,20,"Catarrhini"
"115","Papio_cynocephalus_cynocephalus",37,17,"Catarrhini"
"116","Papio_cynocephalus_kindae",4,2,"Catarrhini"
"117","Papio_hamadryas",46,25,"Catarrhini"
"118","Papio_ursinus_griseipes",2,1,"Catarrhini"
"119","Papio_ursinus_ursinus",51,23,"Catarrhini"
"120","Piliocolobus_badius_badius",15,2,"Catarrhini"
"121","Piliocolobus_badius_temminckii",2,1,"Catarrhini"
"122","Piliocolobus_badius_waldronae",1,1,"Catarrhini"
"123","Piliocolobus_kirkii",2,2,"Catarrhini"
"124","Piliocolobus_preussi",4,4,"Catarrhini"
"125","Piliocolobus_rufomitratus",3,0,"Catarrhini"
"126","Piliocolobus_tephrosceles",5,3,"Catarrhini"
"127","Pongo_abelii",124,16,"Catarrhini"
"128","Pongo_pygmaeus_pygmaeus",34,9,"Catarrhini"
"129","Presbytis_chrysomelas",1,1,"Catarrhini"
"130","Presbytis_comata_comata",7,4,"Catarrhini"
"131","Presbytis_femoralis_femoralis",5,2,"Catarrhini"
"132","Presbytis_hosei_hosei",5,3,"Catarrhini"
"133","Presbytis_melalophos_melalophos",12,3,"Catarrhini"
"134","Presbytis_natunae",2,1,"Catarrhini"
"135","Presbytis_potenziani_potenziani",6,1,"Catarrhini"
"136","Presbytis_rubicunda_rubicunda",20,6,"Catarrhini"
"137","Presbytis_thomasi",14,10,"Catarrhini"
"138","Procolobus_verus",11,3,"Catarrhini"
"139","Pygathrix_nemaeus",32,8,"Catarrhini"
"140","Pygathrix_nigripes",3,1,"Catarrhini"
"141","Rhinopithecus_avunculus",5,4,"Catarrhini"
"142","Rhinopithecus_roxellana",41,29,"Catarrhini"
"143","Semnopithecus_ajax",5,2,"Catarrhini"
"144","Semnopithecus_entellus",32,14,"Catarrhini"
"145","Semnopithecus_priam",2,1,"Catarrhini"
"146","Semnopithecus_schistaceus",12,3,"Catarrhini"
"147","Simias_concolor",25,8,"Catarrhini"
"148","Symphalangus_syndactylus",45,13,"Catarrhini"
"149","Theropithecus_gelada_obscurus",4,4,"Catarrhini"
"150","Theropithecus_gelada",110,14,"Catarrhini"
"151","Trachypithecus_auratus_auratus",19,5,"Catarrhini"
"152","Trachypithecus_barbei",1,1,"Catarrhini"
"153","Trachypithecus_cristatus_cristatus",16,3,"Catarrhini"
"154","Trachypithecus_delacouri",5,3,"Catarrhini"
"155","Trachypithecus_ebenus",1,0,"Catarrhini"
"156","Trachypithecus_francoisi",32,8,"Catarrhini"
"157","Trachypithecus_geei_geei",15,7,"Catarrhini"
"158","Trachypithecus_germaini_germaini",5,2,"Catarrhini"
"159","Trachypithecus_johnii",2,0,"Catarrhini"
"160","Trachypithecus_obscurus_obscurus",10,6,"Catarrhini"
"161","Trachypithecus_phayrei_crepuscula",1,0,"Catarrhini"
"162","Trachypithecus_phayrei_phayrei",32,9,"Catarrhini"
"163","Trachypithecus_pileatus_pileatus",16,6,"Catarrhini"
"164","Trachypithecus_poliocephalus_poliocephalus",5,4,"Catarrhini"
"165","Trachypithecus_shortridgei",3,1,"Catarrhini"
"166","Trachypithecus_vetulus_nestor",3,3,"Catarrhini"
"167","Trachypithecus_vetulus_vetulus",7,3,"Catarrhini"
"168","Alouatta_belzebul_belzebul",24,6,"Platyrrhini"
"169","Alouatta_belzebul_discolor",1,1,"Platyrrhini"
"170","Alouatta_caraya_caraya",26,15,"Platyrrhini"
"171","Alouatta_fusca_fusca",23,8,"Platyrrhini"
"172","Alouatta_guariba_clamitans",59,6,"Platyrrhini"
"173","Alouatta_guariba_guariba",74,9,"Platyrrhini"
"174","Alouatta_palliata_aequatorialis",5,2,"Platyrrhini"
"175","Alouatta_palliata_mexicana",33,10,"Platyrrhini"
"176","Alouatta_palliata_palliata",50,18,"Platyrrhini"
"177","Alouatta_pigra",51,24,"Platyrrhini"
"178","Alouatta_seniculus_seniculus",84,16,"Platyrrhini"
"179","Alouatta_villosa",6,2,"Platyrrhini"
"180","Aotus_azarae_azarae",46,17,"Platyrrhini"
"181","Aotus_azarae_boliviensis",10,2,"Platyrrhini"
"182","Aotus_infulatus_infulatus",24,2,"Platyrrhini"
"183","Aotus_lemurinus_lemurinus",37,4,"Platyrrhini"
"184","Aotus_miconax",2,0,"Platyrrhini"
"185","Aotus_nancymai_nancymai",32,3,"Platyrrhini"
"186","Aotus_nigriceps_nigriceps",7,3,"Platyrrhini"
"187","Aotus_trivirgatus_trivirgatus",224,3,"Platyrrhini"
"188","Aotus_vociferans_vociferans",25,4,"Platyrrhini"
"189","Ateles_belzebuth_belzebuth",42,25,"Platyrrhini"
"190","Ateles_chamek_chamek",32,10,"Platyrrhini"
"191","Ateles_fusciceps_fusciceps",22,1,"Platyrrhini"
"192","Ateles_geoffroyi_geoffroyi",53,13,"Platyrrhini"
"193","Ateles_geoffroyi_yucatanensis",11,8,"Platyrrhini"
"194","Ateles_marginatus_marginatus",6,1,"Platyrrhini"
"195","Ateles_paniscus_chamek",17,1,"Platyrrhini"
"196","Ateles_paniscus_paniscus",38,4,"Platyrrhini"
"197","Brachyteles_arachnoides_arachnoides",71,24,"Platyrrhini"
"198","Brachyteles_arachnoides_hypoxanthus",37,9,"Platyrrhini"
"199","Cacajao_calvus_calvus",21,7,"Platyrrhini"
"200","Cacajao_calvus_novaesi",1,1,"Platyrrhini"
"201","Cacajao_calvus_rubicundus",3,1,"Platyrrhini"
"202","Cacajao_calvus_ucayalii",10,4,"Platyrrhini"
"203","Cacajao_melanocephalus_melanocephalus",17,4,"Platyrrhini"
"204","Cacajao_melanocephalus_ouakary",6,1,"Platyrrhini"
"205","Callicebus_brunneus_brunneus",8,3,"Platyrrhini"
"206","Callicebus_coimbrai",11,3,"Platyrrhini"
"207","Callicebus_cupreus_cupreus",69,20,"Platyrrhini"
"208","Callicebus_discolor_discolor",10,6,"Platyrrhini"
"209","Callicebus_donacophilus_donacophilus",11,6,"Platyrrhini"
"210","Callicebus_donacophilus_pallescens",1,0,"Platyrrhini"
"211","Callicebus_moloch_moloch",45,11,"Platyrrhini"
"212","Callicebus_oenanthe",11,2,"Platyrrhini"
"213","Callicebus_personatus_personatus",12,4,"Platyrrhini"
"214","Callicebus_torquatus_lugens",2,2,"Platyrrhini"
"215","Callicebus_torquatus",14,5,"Platyrrhini"
"216","Callimico_goeldii_goeldii",25,13,"Platyrrhini"
"217","Callimico_goeldii",36,11,"Platyrrhini"
"218","Callithrix_argentata_argentata",8,2,"Platyrrhini"
"219","Callithrix_aurita_aurita",18,3,"Platyrrhini"
"220","Callithrix_emiliae_emiliae",5,1,"Platyrrhini"
"221","Callithrix_flaviceps_flaviceps",18,8,"Platyrrhini"
"222","Callithrix_geoffroyi_geoffroyi",44,9,"Platyrrhini"
"223","Callithrix_jacchus_jacchus",68,25,"Platyrrhini"
"224","Callithrix_kuhlii_kuhlii",25,7,"Platyrrhini"
"225","Callithrix_mauesi_mauesi",1,0,"Platyrrhini"
"226","Callithrix_melanura_melanura",2,2,"Platyrrhini"
"227","Callithrix_nigriceps_nigriceps",1,0,"Platyrrhini"
"228","Callithrix_penicillata_penicillata",21,7,"Platyrrhini"
"229","Cebuella_pygmaea_pygmaea",38,14,"Platyrrhini"
"230","Cebus_albifrons_albifrons",89,11,"Platyrrhini"
"231","Cebus_apella_apella",135,17,"Platyrrhini"
"232","Cebus_capuchinus_capuchinus",88,19,"Platyrrhini"
"233","Cebus_kaapori",2,1,"Platyrrhini"
"234","Cebus_libidinosus_libidinosus",46,4,"Platyrrhini"
"235","Cebus_macrocephalus_macrocephalus",1,1,"Platyrrhini"
"236","Cebus_nigritus_nigritus",42,14,"Platyrrhini"
"237","Cebus_olivaceus",27,7,"Platyrrhini"
"238","Cebus_paraguayanus_paraguayanus",8,0,"Platyrrhini"
"239","Cebus_robustus_robustus",1,0,"Platyrrhini"
"240","Cebus_xanthosternos_xanthosternos",5,0,"Platyrrhini"
"241","Chiropotes_albinasus_albinasus",6,1,"Platyrrhini"
"242","Chiropotes_satanas_chiropotes",24,6,"Platyrrhini"
"243","Chiropotes_satanas_satanas",24,6,"Platyrrhini"
"244","Chiropotes_satanas_utahicki",4,2,"Platyrrhini"
"245","Lagothrix_cana_cana",12,3,"Platyrrhini"
"246","Lagothrix_flavicauda_flavicauda",20,5,"Platyrrhini"
"247","Lagothrix_lagothricha_cana",2,0,"Platyrrhini"
"248","Lagothrix_lagothricha_lagothricha",23,3,"Platyrrhini"
"249","Lagothrix_lagothricha_poeppigii",1,0,"Platyrrhini"
"250","Lagothrix_lagotrhicha_lugens",3,1,"Platyrrhini"
"251","Lagothrix_lugens",5,1,"Platyrrhini"
"252","Leontopithecus_caissara_caissara",8,4,"Platyrrhini"
"253","Leontopithecus_chrysomelas_chrysomelas",75,11,"Platyrrhini"
"254","Leontopithecus_chrysopygus_chrysopygus",22,3,"Platyrrhini"
"255","Leontopithecus_rosalia_rosalia",39,15,"Platyrrhini"
"256","Pithecia_aequatorialis_aequatorialis",12,7,"Platyrrhini"
"257","Pithecia_albicans_albicans",1,1,"Platyrrhini"
"258","Pithecia_irrorata_irrorata",8,3,"Platyrrhini"
"259","Pithecia_pithecia_chrysocephala",4,3,"Platyrrhini"
"260","Pithecia_pithecia_pithecia",19,13,"Platyrrhini"
"261","Saguinus_bicolor_bicolor",18,5,"Platyrrhini"
"262","Saguinus_fuscicollis_fuscicollis",25,8,"Platyrrhini"
"263","Saguinus_fuscicollis_illigeri",3,1,"Platyrrhini"
"264","Saguinus_fuscicollis_lagonotus",2,1,"Platyrrhini"
"265","Saguinus_fuscicollis_leucogenys",1,0,"Platyrrhini"
"266","Saguinus_fuscicollis_weddelli",8,4,"Platyrrhini"
"267","Saguinus_geoffroyi_geoffroyi",27,7,"Platyrrhini"
"268","Saguinus_imperator_imperator",25,5,"Platyrrhini"
"269","Saguinus_imperator_subgrisescens",1,0,"Platyrrhini"
"270","Saguinus_inustus_inustus",1,1,"Platyrrhini"
"271","Saguinus_labiatus_labiatus",54,14,"Platyrrhini"
"272","Saguinus_leucopus_leucopus",22,4,"Platyrrhini"
"273","Saguinus_midas_midas",34,5,"Platyrrhini"
"274","Saguinus_midas_niger",8,1,"Platyrrhini"
"275","Saguinus_mystax_mystax",21,10,"Platyrrhini"
"276","Saguinus_nigricollis_graellsi",1,1,"Platyrrhini"
"277","Saguinus_nigricollis_nigricollis",8,1,"Platyrrhini"
"278","Saguinus_oedipus_oedipus",71,20,"Platyrrhini"
"279","Saguinus_tripartitus_tripartitus",5,3,"Platyrrhini"
"280","Saimiri_boliviensis_boliviensis",23,4,"Platyrrhini"
"281","Saimiri_cassiquiarensis_cassiquiarensis",2,1,"Platyrrhini"
"282","Saimiri_macrodon_macrodon",3,2,"Platyrrhini"
"283","Saimiri_oerstedi_citrinellus",3,3,"Platyrrhini"
"284","Saimiri_oerstedi_oerstedi",15,7,"Platyrrhini"
"285","Saimiri_sciureus_sciureus",116,NA,"Platyrrhini"
"286","Saimiri_ustus_ustus",4,1,"Platyrrhini"
"287","Saimiri_vanzolinii_vanzolinii",5,2,"Platyrrhini"
