"","formula","AICc","R2","lambda","deltaAICc","weight"
"1","normas ~ size + cvn",8.66435685067324,0.837596173576684,0.999926686256414,0,0.387255518965072
"2","normas ~ size + nmds2 + cvn",11.5476162613999,0.832151853168728,0.999926686256414,2.88325941072666,0.0916021758773258
"3","normas ~ size + cvn + integration",11.8711771436583,0.828722981342095,0.999926686256414,3.20682029298501,0.0779193708027311
"4","normas ~ size + nmds1 + cvn",12.2371326067703,0.824760351990021,0.999926686256414,3.5727757560971,0.0648902157076279
"5","normas ~ size + clima + cvn",12.2775929443288,0.824316650259402,0.999926686256414,3.61323609365558,0.0635906650768823
"6","normas ~ cvn",12.7406397516279,0.764183634315453,0.76112896124942,4.07628290095466,0.0504480089595926
"7","normas ~ nmds2 + cvn",13.5581810793811,0.779488465657041,0.867382121271999,4.8938242287079,0.0335210170428238
"8","normas ~ nmds1 + cvn",13.6742099125928,0.77788354741321,0.144114332242524,5.00985306191957,0.0316316499461724
"9","normas ~ size + integration",13.7791532944299,0.776421905997393,0.885630118031997,5.11479644375663,0.0300146774094714
"10","normas ~ size + nmds1 + integration",15.1303068597079,0.790027232206383,0.999926686256414,6.46595000903467,0.0152733537691586
"11","normas ~ nmds1 + nmds2 + cvn",15.1842809638958,0.789317717895147,7.33137435857406e-05,6.51992411322251,0.0148666830781586
"12","normas ~ size + nmds2 + cvn + integration",15.6852561263368,0.819461097915997,0.999926686256414,7.02089927566354,0.0115725404937008
"13","normas ~ size + nmds2 + clima + cvn",15.7036899432537,0.819252976732688,0.999926686256414,7.03933309258046,0.0114663674923832
"14","normas ~ size + nmds1 + nmds2 + cvn",15.7936126514002,0.818234287948525,0.999926686256414,7.12925580072692,0.0109622420863102
"15","normas ~ cvn + integration",15.8023859847719,0.746284690405873,0.723339550414359,7.1380291340987,0.010914259702453
"16","normas ~ clima + cvn",15.806899166318,0.746213113858086,0.749357897905857,7.14254231564473,0.0108896584526303
"17","normas ~ size + clima + cvn + integration",15.9876816697805,0.816016169684503,0.999926686256414,7.32332481910727,0.00994850532533167
"18","normas ~ size + nmds1 + cvn + integration",16.2254643155164,0.813261491051321,0.999926686256414,7.56110746484312,0.00883332056153455
"19","normas ~ size + nmds1 + clima + cvn",16.566446898362,0.809239120902715,0.999926686256414,7.90209004768877,0.00744870138929679
"20","normas ~ size + clima + integration",16.7390653150462,0.767817140526844,0.887656564546816,8.07470846437291,0.00683277234801712
"21","normas ~ nmds2 + clima + cvn",16.8271342895292,0.766535610146212,0.796185683317023,8.16277743885597,0.00653842304288436
"22","normas ~ nmds1 + cvn + integration",17.1309315135148,0.762060393802282,0.422630174113873,8.46657466284153,0.00561699823575397
"23","normas ~ nmds2 + cvn + integration",17.1790866109068,0.761343189754589,0.925726889800313,8.51472976023353,0.00548336986463093
"24","normas ~ nmds1 + clima + cvn",17.2324115063817,0.760546465987906,0.173855942818345,8.56805465570845,0.00533910162086788
"25","normas ~ size + nmds2 + integration",17.3988804615367,0.758042111815005,0.870260354377944,8.73452361086344,0.00491269624971504
"26","normas ~ size",18.6835802643912,0.658110641117687,0.970658173310904,10.019223413718,0.00258434741140568
"27","normas ~ size + nmds1 + clima + integration",18.7726496960554,0.781035771417431,0.999926686256414,10.1082928453821,0.00247177942980556
"28","normas ~ nmds1 + nmds2 + clima + cvn",18.9441417056525,0.778676235483122,0.161364413506339,10.2797848549793,0.00226866670292072
"29","normas ~ nmds1 + nmds2 + cvn + integration",19.0959252195986,0.776566663941868,0.574226457668729,10.4315683689254,0.00210286467566756
"30","normas ~ clima + cvn + integration",19.4085008114398,0.725660890487434,0.670018832411194,10.7441439607665,0.00179860749298145
"31","normas ~ size + nmds1 + nmds2 + integration",19.4903872915544,0.770989700989445,0.999926686256414,10.8260304408811,0.00172645385574692
"32","normas ~ size + nmds1",20.1991608549754,0.666043334870166,0.999926686256414,11.5348040043022,0.00121128614969809
"33","normas ~ size + nmds2 + clima + cvn + integration",20.5138189011693,0.807574647661861,0.999926686256414,11.8494620504961,0.00103495060985571
"34","normas ~ size + nmds1 + nmds2 + clima + cvn",20.8555954369841,0.803420027755122,0.999926686256414,12.1912385863108,0.000872376168433673
"35","normas ~ size + nmds2 + clima + integration",20.9637800724135,0.748899307207032,0.839446938545858,12.2994232217403,0.00082644089226475
"36","normas ~ size + nmds1 + nmds2 + cvn + integration",21.0091184720501,0.801524727289414,0.999926686256414,12.3447616213769,0.000807916893921958
"37","normas ~ nmds2 + clima + cvn + integration",21.172557530573,0.745601326727936,0.708548213969886,12.5082006798998,0.00074451996611144
"38","normas ~ size + nmds1 + clima + cvn + integration",21.2939339311515,0.797960042381092,0.999926686256414,12.6295770804783,0.000700680124398817
"39","normas ~ size + clima",21.4246645329535,0.639459166524819,0.967261010048864,12.7603076822802,0.000656344739686402
"40","normas ~ nmds1 + clima + cvn + integration",21.4822042928776,0.740630019380087,0.397271570690322,12.8178474422044,0.000637730824254575
"41","normas ~ size + nmds2",21.6219146709893,0.63498685999811,0.955093174624231,12.9575578203161,0.000594702392478228
"42","normas ~ size + nmds1 + clima",23.4576972408863,0.646656827778912,0.999926686256414,14.793340390213,0.000237500520429925
"43","normas ~ size + nmds1 + nmds2",23.7316207670392,0.640555435233365,0.999926686256414,15.067263916366,0.000207101301270998
"44","normas ~ size + nmds1 + nmds2 + clima + integration",24.0109860755258,0.760565175843609,0.987345670136754,15.3466292248526,0.000180102367475895
"45","normas ~ nmds1 + nmds2 + clima + cvn + integration",24.119205360291,0.758940220088885,0.447891721936117,15.4548485096178,0.00017061605762702
"46","normas ~ size + nmds2 + clima",25.0144654595312,0.61054911584686,0.957347212941228,16.350108608858,0.000109047733177882
"47","normas ~ integration",25.0738592946733,0.490270796040577,7.33137435857406e-05,16.4095024440001,0.000105856964130412
"48","normas ~ nmds2 + integration",27.0585042688503,0.487284965356384,7.33137435857406e-05,18.3941474181771,3.92427337920867e-05
"49","normas ~ size + nmds1 + nmds2 + clima + cvn + integration",27.1783766462175,0.786222232349446,0.999926686256414,18.5140197955442,3.69597732628158e-05
"50","normas ~ clima + integration",27.7741213627182,0.463832682876037,7.33137435857406e-05,19.109764512045,2.74387913215816e-05
"51","normas ~ size + nmds1 + nmds2 + clima",27.798089296903,0.615094306735427,0.999926686256414,19.1337324462297,2.71119282195319e-05
"52","normas ~ nmds1 + integration",28.1456385741088,0.451237305896397,7.33137435857406e-05,19.4812817234356,2.27872039499165e-05
"53","normas ~ nmds2 + clima + integration",29.8134684813532,0.474329050082269,7.33137435857406e-05,21.1491116306799,9.89751974082687e-06
"54","normas ~ nmds1 + nmds2 + integration",30.682081555587,0.445002414310562,7.33137435857406e-05,22.0177247049138,6.41075890221437e-06
"55","normas ~ nmds1 + clima + integration",31.4063403090133,0.41930251829359,7.33137435857406e-05,22.74198345834,4.46312092682655e-06
"56","normas ~ nmds1 + nmds2 + clima + integration",34.1645309924132,0.42699126685357,7.33137435857406e-05,25.5001741417399,1.12384173791677e-06
"57","normas ~ nmds2",34.4787627388587,0.0824692656145315,0.460272879799972,25.8144058881855,9.60440799047531e-07
"58","normas ~ clima",35.7473253236475,0.00676108044639145,0.437345784937419,27.0829684729743,5.09337597132975e-07
"59","normas ~ nmds1",36.8703283757308,-0.0654568247917374,0.259653630613211,28.2059715250575,2.90501728487147e-07
"60","normas ~ nmds2 + clima",37.1507250794324,0.0365852509351702,0.5026117247009,28.4863682287592,2.52499981251832e-07
"61","normas ~ nmds1 + nmds2",37.5117142550595,0.0146017965459352,0.421525617552686,28.8473574043862,2.10801427117568e-07
"62","normas ~ nmds1 + clima",38.7709424597505,-0.0660842013475042,0.360279421325659,30.1065856090773,1.12314445242664e-07
"63","normas ~ nmds1 + nmds2 + clima",40.7545654715121,-0.0415799357679396,0.465459152324236,32.0902086208389,4.16578979974378e-08
