"","matings.genus","dimor_abs","normas","align_1","align_2","align_3","align_4","align_5","align_6","align_7","align_8","matings.dados.PARVORDER"
"1","Alouatta",0.142215085644345,-1.01954348273548,0.936434968387851,0.154341272180103,0.181919007917494,0.117223534784814,0.0474467160492303,0.0902660754195675,0.0902223403211351,0.0319039264019074,"Platyrrhini"
"2","Aotus",0.00906148612456995,-0.108624335295877,0.609675525478417,0.451348466057852,0.399094719754351,0.142035867774467,0.0944136204039022,0.0705963037276387,0.134093238564175,0.125097796869403,"Platyrrhini"
"3","Ateles",0.00878042759284867,-0.088895066186596,0.570616426822601,0.0565943441157591,0.392220648724109,0.194124888736074,0.226958844696478,0.0993792570015444,0.222129388406333,0.11693927226563,"Platyrrhini"
"4","Brachyteles",-0.00184378703977686,0.0433728160558805,0.229787079126823,0.453508184052525,0.184635002284696,0.106945346304835,0.311470101586079,0.0938385289058325,0.0773478531639584,0.374138541009051,"Platyrrhini"
"5","Cacajao",0.0530280695251178,-0.39497366416573,0.939706736208716,0.0906879928129482,0.170218648965204,0.139724860793602,0.0948594294585316,0.0906061503399347,0.00550723595538139,0.00597239731692513,"Platyrrhini"
"6","Callicebus",0.00921630503215669,-0.0756767729333538,0.850581780121651,0.126312557764119,0.00732602311912052,0.0957051105586626,0.116474759310729,0.177967520599544,0.118213763046466,0.157264246702649,"Platyrrhini"
"7","Callimico",0.0255191872444858,-0.254180866791225,0.74811386938896,0.372697247441374,0.168430906463018,0.0373405061976148,0.334902557262841,0.0921833057950908,0.0182688503559188,0.152967286007045,"Platyrrhini"
"8","Callithrix",-0.0016291142061702,0.0344070534789578,0.155419455696394,0.288759069404786,0.345402362254966,0.478466831198134,0.175707246009341,0.273005796753084,0.0397428269928783,0.0984065868478673,"Platyrrhini"
"9","Cebuella",-0.0310006220752115,0.250376332346574,0.797743152090598,0.0329806268594087,0.145056188733074,0.164647246289009,0.094960701007922,0.146376690840992,0.12595426139856,0.0150954974789172,"Platyrrhini"
"10","Cebus",0.0701646694092349,-0.490944026868082,0.967998922934192,0.0802988300254038,0.0790407250262878,0.0569550295069401,0.0154610180010859,0.0765510800441043,0.0589366831420591,0.0123415380140809,"Platyrrhini"
"11","Cercocebus",0.1480546010955,-1.07929806811566,0.972392365179826,0.0777818904183445,0.0676995225061876,0.102347153955793,0.0802411967225606,0.0478509010116287,0.00957464947288501,0.0157892407056939,"Catarrhini"
"12","Cercopithecus",0.0956552873863372,-0.67958532708516,0.967654610009346,0.0146854758366902,0.00575924305154514,0.0841467637191138,0.0674886520434851,0.0615608317527402,0.0719499623751677,0.000835918753354917,"Catarrhini"
"13","Chiropotes",0.0261174026994347,-0.211976628988273,0.838721944814621,0.142973954551783,0.200516634215539,0.153153085357355,0.292150799230241,0.0209258496773248,0.134819496716081,0.00639701032748551,"Platyrrhini"
"14","Chlorocebus",0.110406222443024,-0.782182344187692,0.967402884472927,0.0213160022359166,0.0345315056014412,0.0705740191519911,0.0605625881020143,0.0806126308966751,0.0871177695796803,0.0160419508633044,"Catarrhini"
"15","Colobus",0.0685481420983494,-0.48168134948067,0.956744158693752,0.141090081423511,0.035177278486642,0.0744792659774551,0.0417458011399515,0.0531948795736672,0.0754236226439272,0.0849384124292561,"Catarrhini"
"16","Erythrocebus",0.178965835124899,-1.30392996309336,0.961555299147524,0.0440259321374813,0.0205267674690941,0.124248096545805,0.0997199105863425,0.072061341149007,0.0545245085990515,0.0441993922470477,"Catarrhini"
"17","Gorilla",0.192060587089708,-1.3456566803295,0.910729905031764,0.310837325717245,0.0564871840014068,0.137388579897479,0.0886353559268188,0.0903441117612406,0.00571072615859061,0.101004117863542,"Catarrhini"
"18","Hylobates",0.0149026168929547,-0.124768602702765,0.793309387650217,0.0478639485344604,0.219743198737256,0.0606791167363198,0.240816925780814,0.11391924965652,0.0861406393870102,0.00444554589531709,"Catarrhini"
"19","Lagothrix",0.0371027540269551,-0.269530696602248,0.86133957860129,0.321397101832625,0.250482896681205,0.0614498465860633,0.0933784497670173,0.133267847164568,0.0313348639998846,0.0305315426067962,"Platyrrhini"
"20","Leontopithecus",0.0213038906074924,-0.220831051182834,0.467024519121872,0.584633363249702,0.390588735029896,0.308982754775924,0.0128782427997271,0.180491975795131,0.0836463567045079,0.0585245223252387,"Platyrrhini"
"21","Lophocebus",0.0852846499039051,-0.621102159632654,0.974618690870279,0.0292452477827149,0.0260049151800478,0.0602029399429754,0.08921078448708,0.0973047811435758,0.0588453970043727,0.0219468408554763,"Catarrhini"
"22","Macaca",0.117348222780944,-0.869309541164466,0.97765674676621,0.121376005345585,0.00762633966134489,0.0597099610024108,0.0492103678387021,0.029819414485017,0.0113865673016371,0.0492191618706518,"Catarrhini"
"23","Mandrillus",0.290815479166546,-2.29320037180575,0.958070639971917,0.251639625185121,0.0189284008768945,0.00894117794918177,0.029044485255221,0.0191373709836506,0.0117299239654328,0.00299757618830467,"Catarrhini"
"24","Nomascus",0.012941532142659,-0.192200896678225,0.458720420635748,0.230727266419229,0.0851829000403639,0.132492367683256,0.190929443408437,0.134058977951136,0.504872917577904,0.139249008396187,"Catarrhini"
"25","Pan",0.0620109642838767,-0.451934586951955,0.9402640288017,0.0594596014281812,0.0558494256130404,0.126015529568547,0.0187120312812221,0.162776043119618,0.0954732225772414,0.0299628862763811,"Catarrhini"
"26","Papio",0.214298655739487,-1.69978057840007,0.955622386727941,0.254878093163106,0.0194869417394642,0.0240428407779487,0.0865353454222613,0.0440584363787915,0.00829084857265943,0.00845301361369422,"Catarrhini"
"27","Pithecia",0.0371224624698192,-0.267357550486631,0.944325713620282,0.177724084997345,0.103631833098733,0.11563323798081,0.0662675615961401,0.0249400299567168,0.022156634584018,0.0557836910884179,"Platyrrhini"
"28","Pongo",0.153757570323194,-1.07336245848436,0.951347785178972,0.119449748518951,0.0257564124532225,0.046418190665075,0.0567731306318753,0.0232860505707,0.127386025319203,0.113621219958227,"Catarrhini"
"29","Presbytis",0.0152200748162728,-0.125410676318758,0.701048220520089,0.401671300807541,0.154425325748678,0.0317986450987944,0.31428614982719,0.0631008907329602,0.212132067652236,0.0961565362465649,"Catarrhini"
"30","Procolobus",0.0570016076457543,-0.454022118600921,0.788103732595211,0.265635587839188,0.407227016792841,0.0882524139436369,0.0142004434357917,0.0533304803371686,0.153179211862707,0.0141981342417461,"Catarrhini"
"31","Rhinopithecus",0.087725635363661,-0.652601578212006,0.900061685764251,0.0156235382486901,0.0774363392483384,0.141770232280014,0.0762576820895805,0.0715783073468252,0.21279111349601,0.188341091756739,"Catarrhini"
"32","Saguinus",0.00233412349890498,-0.0469656320240991,0.202052333332954,0.491792520395254,0.210404631446188,0.189716232701652,0.153439612368025,0.246455708867225,0.116085139141656,0.349615048591706,"Platyrrhini"
"33","Saimiri",0.0499313808741441,-0.350303581370997,0.953168649756503,0.152110729890682,0.0400051995914839,0.0576555859915221,0.0464657619400944,0.0148781280954812,0.0793252482489377,0.03036243806311,"Platyrrhini"
"34","Semnopithecus",0.128181501647499,-0.897234524169349,0.962231723253566,0.0891771939834824,0.0404287203673243,0.154302051549676,0.0396077695745304,0.127900290971044,0.0187478350041234,0.0232273940677423,"Catarrhini"
"35","Symphalangus",0.0398365314220584,-0.34986230520274,0.814453076682478,0.0349021189972175,0.323767640458757,0.00382309519845916,0.105916475428219,0.0911354580707344,0.265796786337958,0.096831811237076,"Catarrhini"
"36","Theropithecus",0.153979769321488,-1.1705291345715,0.96641987093063,0.064642100190373,0.0791035379847469,0.00684529057480295,0.117602391559454,0.0444184083413782,0.0104682688244131,0.0393651468027455,"Catarrhini"
"37","Trachypithecus",0.0700886526555452,-0.493563012211156,0.909233351959948,0.269045643602703,0.072522848168306,0.15975962742291,0.175240300195249,0.0859958045889424,0.0190044471729204,0.0102035500521263,"Catarrhini"
